Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0	1.883315
0.0025	3.089565
0.005	8.033315
0.0075	18.40831
0.01	31.00832
0.0125	39.73332
0.015	42.47082
0.0175	42.35207
0.02	42.16457
0.0225	41.69582
0.025	40.33957
0.0275	38.65207
0.03	37.05832
0.0325	34.68957
0.035	30.06457
0.0375	22.77081
0.04	15.00831
0.0425	10.30206
0.045	9.077065
0.0475	7.133315
0.05	0.1520647
0.0525	-11.93544
0.055	-24.54794
0.0575	-32.07918
0.06	-33.49168
0.0625	-33.47293
0.065	-36.81668
0.0675	-43.70418
0.07	-50.24168
0.0725	-51.98544
0.075	-47.16668
0.0775	-38.21668
0.08	-29.99793
0.0825	-25.09169
0.085	-21.12919
0.0875	-13.99794
0.09	-1.835435
0.0925	14.45831
0.095	31.52082
0.0975	45.23332
0.1	53.57706
0.1025	57.25206
0.105	58.49581
0.1075	59.99581
0.11	62.65206
0.1125	64.35206
0.115	62.55206
0.1175	57.28331
0.12	50.65832
0.1225	44.99582
0.125	42.26457
0.1275	42.20207
0.13	41.23332
0.1325	35.97707
0.135	26.84582
0.1375	16.50206
0.14	7.364565
0.1425	0.7083147
0.145	-4.785435
0.1475	-12.39169
0.15	-24.01044
0.1525	-38.24168
0.155	-51.75419
0.1575	-61.57294
0.16	-66.94794
0.1625	-69.60419
0.165	-71.94794
0.1675	-74.92294
0.17	-77.17919
0.1725	-75.74169
0.175	-67.25419
0.1775	-50.69793
0.18	-30.50418
0.1825	-14.64794
0.185	-8.085435
0.1875	-8.391685
0.19	-7.666685
0.1925	0.7458147
0.195	16.04581
0.1975	31.27082
0.2	40.47707
0.2025	42.80207
0.205	41.39582
0.2075	40.40207
0.21	41.72707
0.2125	43.21457
0.215	40.56457
0.2175	32.08332
0.22	21.38331
0.2225	13.64581
0.225	10.85206
0.2275	11.25831
0.23	10.85831
0.2325	6.245815
0.235	-2.504185
0.2375	-12.49169
0.24	-20.54794
0.2425	-24.85419
0.245	-26.64793
0.2475	-29.57918
0.25	-36.06668
0.2525	-45.44793
0.255	-55.12919
0.2575	-62.27294
0.26	-65.24169
0.2625	-65.08544
0.265	-64.13544
0.2675	-62.76669
0.27	-59.76669
0.2725	-54.42919
0.275	-45.59793
0.2775	-32.16043
0.28	-17.52294
0.2825	-8.185435
0.285	-5.397935
0.2875	-3.985435
0.29	0.1770647
0.2925	6.608315
0.295	12.52081
0.2975	15.24581
0.3	14.18956
0.3025	10.75206
0.305	6.689565
0.3075	3.889565
0.31	3.652065
0.3125	4.433315
0.315	2.608315
0.3175	-3.279185
0.32	-11.07294
0.3225	-15.24674
0.325	-21.13104
0.3275	-27.36499
0.33	-31.64542
0.3325	-33.91035
0.335	-36.44069
0.3375	-41.19069
0.34	-47.405
0.3425	-52.86218
0.345	-57.64192
0.3475	-64.33278
0.35	-73.25387
0.3525	-80.83185
0.355	-83.8098
0.3575	-82.04124
0.36	-77.47889
0.3625	-72.49922
0.365	-68.29394
0.3675	-63.72332
0.37	-57.38381
0.3725	-49.94883
0.375	-42.53456
0.3775	-34.8846
0.38	-26.78137
0.3825	-19.04768
0.385	-12.30199
0.3875	-6.898023
0.39	-3.36363
0.3925	-1.350614
0.395	-0.07000256
0.3975	0.1514408
0.4	-1.175048
0.4025	-3.58362
0.405	-6.536161
0.4075	-9.650773
0.41	-12.70506
0.4125	-16.42215
0.415	-21.27167
0.4175	-26.79097
0.42	-33.32814
0.4225	-42.06688
0.425	-53.15541
0.4275	-65.63356
0.43	-78.23517
0.4325	-89.67034
0.435	-98.92174
0.4375	-105.623
0.44	-109.8949
0.4425	-112.009
0.445	-111.9443
0.4475	-108.7159
0.45	-101.1273
0.4525	-89.49638
0.455	-75.86027
0.4575	-61.77958
0.46	-47.15062
0.4625	-32.20378
0.465	-18.88963
0.4675	-8.557539
0.47	-0.06044674
0.4725	8.209209
0.475	16.02458
0.4775	21.77245
0.48	24.23944
0.4825	23.709
0.485	21.93506
0.4875	20.50771
0.49	20.08603
0.4925	20.89626
0.495	22.2811
0.4975	22.84896
0.5	21.8877
0.5025	19.09876
0.505	13.58271
0.5075	4.92504
0.51	-5.765831
0.5125	-16.75132
0.515	-26.52838
0.5175	-34.8192
0.52	-42.82537
0.5225	-51.96916
0.525	-62.37243
0.5275	-72.13964
0.53	-79.20751
0.5325	-83.19971
0.535	-85.01624
0.5375	-85.89647
0.54	-86.09025
0.5425	-83.68489
0.545	-77.02926
