Interval=	0.0025 s
ExcelDateTime=	4.4993566444580458e+004	3/8/2023 13:35:40.811751
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0	-3.575193
0.0025	-4.906443
0.005	-9.700194
0.0075	-17.91894
0.01	-26.20644
0.0125	-31.50019
0.015	-33.01269
0.0175	-31.74394
0.02	-30.13144
0.0225	-30.23144
0.025	-31.67519
0.0275	-32.41269
0.03	-30.38144
0.0325	-25.23769
0.035	-19.61269
0.0375	-16.87519
0.04	-17.55019
0.0425	-19.33144
0.045	-19.95644
0.0475	-18.66269
0.05	-15.54394
0.0525	-11.61269
0.055	-8.868944
0.0575	-7.368944
0.06	-4.825193
0.0625	0.1810566
0.065	7.312306
0.0675	15.04981
0.07	20.56231
0.0725	21.76231
0.075	19.33106
0.0775	15.45606
0.08	12.29356
0.0825	10.53106
0.085	9.156056
0.0875	7.518556
0.09	5.243557
0.0925	0.3248066
0.095	-8.575194
0.0975	-18.60644
0.1	-25.17519
0.1025	-26.98769
0.105	-26.65019
0.1075	-27.56894
0.11	-31.01894
0.1125	-35.74394
0.115	-39.21894
0.1175	-40.02519
0.12	-39.75019
0.1225	-40.76894
0.125	-43.11894
0.1275	-44.25644
0.13	-40.90644
0.1325	-32.05644
0.135	-21.01894
0.1375	-12.30019
0.14	-7.106444
0.1425	-3.281443
0.145	1.774807
0.1475	9.356056
0.15	19.10606
0.1525	28.29981
0.155	33.59981
0.1575	34.14356
0.16	31.55606
0.1625	28.29356
0.165	26.99356
0.1675	28.16231
0.17	28.88731
0.1725	25.98731
0.175	19.11231
0.1775	10.78731
0.18	4.887307
0.1825	3.862307
0.185	6.112307
0.1875	7.174806
0.19	4.187307
0.1925	-1.487693
0.195	-6.743944
0.1975	-9.400194
0.2	-8.756444
0.2025	-6.800194
0.205	-7.637694
0.2075	-12.58769
0.21	-18.21894
0.2125	-21.03144
0.215	-20.24394
0.2175	-17.05019
0.22	-13.22519
0.2225	-9.606444
0.225	-6.012693
0.2275	-2.281443
0.23	2.562307
0.2325	9.862306
0.235	18.21856
0.2375	23.68106
0.24	23.61856
0.2425	18.86231
0.245	12.85606
0.2475	9.324806
0.25	10.04356
0.2525	13.39981
0.255	15.31231
0.2575	13.31231
0.26	8.887306
0.2625	4.974807
0.265	2.799807
0.2675	2.356057
0.27	2.756057
0.2725	2.274807
0.275	0.8560566
0.2775	0.2123066
0.28	1.418557
0.2825	4.387307
0.285	7.643556
0.2875	8.543556
0.29	5.968557
0.2925	0.9373066
0.295	-4.500193
0.2975	-7.556444
0.3	-6.987694
0.3025	-5.062693
0.305	-5.012693
0.3075	-7.100194
0.31	-9.175194
0.3125	-9.543944
0.315	-7.362694
0.3175	-3.143943
0.32	0.1560566
0.3225	-0.1256706
0.325	-0.712901
0.3275	-0.7230989
0.33	0.3717426
0.3325	2.246203
0.335	2.775326
0.3375	0.6953003
0.34	-1.823783
0.3425	-2.780188
0.345	-3.700116
0.3475	-6.022349
0.35	-8.406419
0.3525	-10.43347
0.355	-13.98041
0.3575	-19.07847
0.36	-22.62162
0.3625	-22.83746
0.365	-21.66398
0.3675	-21.67472
0.37	-22.64344
0.3725	-22.64068
0.375	-21.36058
0.3775	-20.5384
0.38	-21.61165
0.3825	-24.62879
0.385	-28.00729
0.3875	-29.62482
0.39	-29.83307
0.3925	-31.51852
0.395	-35.85388
0.3975	-40.34135
0.4	-42.35603
0.4025	-41.80691
0.405	-39.83325
0.4075	-36.86114
0.41	-32.95214
0.4125	-28.35593
0.415	-23.35209
0.4175	-18.50033
0.42	-14.99963
0.4225	-13.84163
0.425	-14.12988
0.4275	-13.96962
0.43	-12.68801
0.4325	-10.62832
0.435	-7.837348
0.4375	-4.434284
